,Dispay_inch,Hard_disk,Name,Operating_system,Price,Processor,RAM
0,33.78 cm (13.3 inch) Display,128 GB SSD,Apple MacBook Air Core i5 5th Gen ,64 bit Mac OS Operating System,"₹71,990",Intel Core i5 Processor (5th Gen),8 GB DDR3 RAM
1,39.62 cm (15.6 inch) Display,500 GB HDD,Acer Aspire 3 Pentium Gold ,64 bit Windows 10 Operating System,"₹17,990",Intel Pentium Gold Processor,4 GB DDR4 RAM
2,FineTip Backlit Keyboard with Independent Standard Numeric Keypad,Dual Fan Cooling with Metal AeroBlade for Interuption Free Gaming,Acer Predator Helios 300 Core i5 8th Gen ,128 GB SSD Capacity for Reduced Boot Up Time and in Game Loading,"₹69,990",NVIDIA Geforce GTX 1050 Ti for Desktop Level Performance,Optimized Dolby Audio Premium Sound Enhancement
3,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
4,1 Year,35.56 cm (14 inch) Display,iball Compbook Celeron Dual Core 7th Gen ,64 bit Windows 10 Operating System,"₹9,999",Intel Celeron Dual Core Processor (7th Gen),3 GB DDR3 RAM
5,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
6,35.56 cm (14 inch) Display,1 TB HDD,Dell Inspiron 14 3000 Core i3 7th Gen ,Linux/Ubuntu Operating System,"₹25,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
7,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q APU Dual Core A9 ,64 bit Windows 10 Operating System,"₹24,990",AMD APU Dual Core A9 Processor,4 GB DDR4 RAM
8,39.62 cm (15.6 inch) Display,512 GB SSD,MSI GL63 Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹58,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
9,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i5 8th Gen ,DOS Operating System,"₹42,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
10,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Pentium Gold ,64 bit Windows 10 Operating System,"₹21,990",Intel Pentium Gold Processor,4 GB DDR4 RAM
11,1 TB HDD,64 bit Windows 10 Operating System,Asus Pentium Quad Core ,4 GB DDR4 RAM,"₹18,990",HD LCD Anti-glare Display,Intel Pentium Quad Core Processor
12,39.62 cm (15.6 inch) Display,1 TB HDD,Asus ROG Strix G Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
13,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
14,1 Year Onsite Warranty,29.46 cm (11.6 inch) Display,Asus Vivo Celeron Dual Core ,64 bit Windows 10 Operating System,"₹15,990",Intel Celeron Dual Core Processor,2 GB DDR4 RAM
15,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 3 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
16,1 TB HDD,64 bit Windows 10 Operating System,Asus Core i5 8th Gen ,8 GB DDR4 RAM,"₹42,990",Full HD LCD Anti-glare Display,Intel Core i5 Processor (8th Gen)
17,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹35,990",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
18,35.56 cm (14 inch) Display,1 TB HDD,HP 14q Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹28,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
19,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
20,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
21,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹43,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
22,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S Series Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹72,490",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
23,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
24,35.56 cm (14 inch) Display,1 TB HDD,Dell Vostro 14 3000 Core i5 8th Gen ,Linux/Ubuntu Operating System,"₹38,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
25,35.56 cm (14 inch) Display,512 GB SSD,Asus VivoBook 14 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
26,500 GB HDD,64 bit Windows 10 Operating System,Asus APU Dual Core E1 ,4 GB DDR3 RAM,"₹17,990",HD LCD Anti-glare Display,AMD APU Dual Core E1 Processor
27,39.62 cm (15.6 inch) Display,1 TB HDD,Asus X Series Core i3 7th Gen ,64 bit Endless Operating System,"₹25,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
28,35.56 cm (14 inch) Display,1 TB HDD,Dell Vostro 14 3000 Core i5 8th Gen ,Windows 10 Operating System,"₹43,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
29,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
